",""IE_9_4.1"",""IE_9_4.2"",""IE_9_4.3"",""IE_9_4.4"",""IE_9_4.5"",""IE_9_4.6"",""IE_9_4.7"",""IE_9_4.8"",""IE_9_4.9"",""IE_9_4.10"",""IE_9_4.11"",""IE_9_4.12"",""IE_9_4.13"",""IE_9_4.14"""
NÚMERO SECUENCIAL,2533931,2533930,2628713,2533932,2533929,2533959,2534002,2628712,2533967,2533872,2533871,2534006,2535772,2533873
"DESCRIPCIÓN DE LA SERIE,""Competitividad de España. IPP  . Frente a UE28 (UEM19)."",""Competitividad de España. IPC  . Frente a UE28 (UEM19)."",""Competitividad de España. Costes totales. Frente a ue28. mensual (UEM19)"",""Competitividad de España . IPX  . Frente a UE28 (UEM19)."",""Índice de posición efectiva nominal de España. Frente a UE28 (UEM19)"",""Competitividad de España.IPP relativo. Frente a ue28 (UEM19)."",""Competitividad de España.IPC relativo. Frente a ue28 (UEM19)."",""Competitividad de España.Costes laborales relativos unitarios totales.ue28.mensual (UEM19)"",""Competitividad de España .IPX relativo. Frente a ue28 (UEM19)."",""Competitividad de España  IPP  . Frente a UM19."",""Competitividad de España  IPC  . Frente a UM19."",""Competitividad de España. Costes totales. Frente a UM19. mensual."",""Competitividad de España. Costes manufacturas. Frente a UM19. mensual."",""Competitividad de España  IPX  . Frente a UM19."""
"DESCRIPCIÓN DE LAS UNIDADES,""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"""
SEP 2005,104.93,106.20,107.84,101.81,99.99,104.94,106.21,107.69,101.97,105.41,106.87,109.70,114.57,103.66
"OCT 2005,105.21,106.97,""_"",102.11,100.12,105.09,106.84,""_"",102.14,105.52,107.52,""_"",""_"",103.86"
"NOV 2005,105.29,107.37,""_"",102.05,100.12,105.16,107.24,""_"",102.08,105.62,107.96,""_"",""_"",103.75"
DIC 2005,105.17,107.22,108.09,102.67,100.03,105.14,107.19,107.99,102.79,105.52,107.85,109.93,114.46,104.35
"ENE 2006,105.70,107.19,""_"",100.96,100.07,105.63,107.12,""_"",101.04,105.95,107.81,""_"",""_"",102.78"
"FEB 2006,106.41,106.74,""_"",101.85,100.00,106.42,106.74,""_"",102.01,106.74,107.42,""_"",""_"",103.69"
MAR 2006,106.36,107.19,108.68,101.75,100.18,106.17,107.00,108.58,101.72,106.48,107.63,110.68,117.52,103.47
"ABR 2006,106.32,108.25,""_"",101.70,100.26,106.04,107.96,""_"",101.59,106.37,108.61,""_"",""_"",103.54"
"MAY 2006,106.55,108.07,""_"",102.28,100.08,106.47,107.98,""_"",102.36,106.86,108.68,""_"",""_"",104.24"
JUN 2006,106.64,108.33,109.53,101.66,100.21,106.42,108.10,109.32,101.60,106.87,108.83,111.57,120.27,103.29
"JUL 2006,106.45,107.85,""_"",103.21,100.24,106.20,107.59,""_"",103.12,106.65,108.32,""_"",""_"",105.00"
"AGO 2006,106.19,107.60,""_"",103.12,100.01,106.18,107.59,""_"",103.27,106.61,108.35,""_"",""_"",104.75"
SEP 2006,106.23,107.40,110.17,103.09,100.03,106.20,107.37,110.06,103.21,106.68,108.17,112.50,118.56,104.74
"OCT 2006,105.89,107.76,""_"",103.90,99.92,105.97,107.84,""_"",104.13,106.38,108.65,""_"",""_"",105.57"
"NOV 2006,105.85,107.84,""_"",102.88,99.82,106.04,108.03,""_"",103.22,106.43,108.86,""_"",""_"",104.41"
DIC 2006,105.85,107.67,110.40,103.40,99.73,106.14,107.95,110.58,103.83,106.50,108.77,113.38,119.74,104.99
"ENE 2007,105.48,106.62,""_"",103.21,99.64,105.87,107.01,""_"",103.94,106.51,108.25,""_"",""_"",104.79"
"FEB 2007,105.74,106.31,""_"",104.24,99.74,106.02,106.59,""_"",104.87,106.66,107.83,""_"",""_"",105.59"
MAR 2007,106.08,106.64,111.29,103.56,99.86,106.23,106.79,111.57,104.06,106.88,108.00,114.52,125.08,104.98
"ABR 2007,105.95,107.48,""_"",104.08,99.76,106.21,107.74,""_"",104.69,106.80,108.91,""_"",""_"",105.56"
"MAY 2007,106.00,107.59,""_"",103.53,99.78,106.24,107.83,""_"",104.12,106.89,109.03,""_"",""_"",105.04"
JUN 2007,105.89,107.69,111.66,103.38,99.77,106.14,107.94,111.91,103.98,106.84,109.17,114.96,123.86,104.86
"JUL 2007,105.64,107.01,""_"",103.99,99.64,106.02,107.40,""_"",104.73,106.71,108.59,""_"",""_"",105.64"
"AGO 2007,105.81,107.21,""_"",104.11,99.77,106.05,107.45,""_"",104.71,106.78,108.67,""_"",""_"",105.67"
SEP 2007,105.83,107.27,112.44,103.78,99.89,105.95,107.39,112.70,104.26,106.68,108.62,115.88,123.89,105.35
"OCT 2007,106.14,108.26,""_"",103.07,99.88,106.27,108.39,""_"",103.55,107.02,109.66,""_"",""_"",104.64"
"NOV 2007,106.17,108.65,""_"",103.45,100.02,106.15,108.63,""_"",103.80,106.92,109.90,""_"",""_"",105.04"
DIC 2007,106.57,108.84,112.81,103.25,100.13,106.44,108.70,112.80,103.48,107.23,109.98,115.86,124.28,104.86
"ENE 2008,107.41,108.74,""_"",104.46,100.46,106.93,108.25,""_"",104.34,107.82,109.63,""_"",""_"",106.07"
"FEB 2008,107.59,108.31,""_"",103.02,100.44,107.13,107.84,""_"",102.93,108.02,109.21,""_"",""_"",104.63"
MAR 2008,108.03,108.61,116.08,103.83,100.65,107.33,107.91,115.48,103.51,108.27,109.19,118.88,131.01,105.51
"ABR 2008,108.19,109.59,""_"",103.59,100.74,107.40,108.79,""_"",103.19,108.42,110.15,""_"",""_"",105.20"
"MAY 2008,108.06,109.55,""_"",102.86,100.63,107.38,108.87,""_"",102.57,108.43,110.20,""_"",""_"",104.66"
JUN 2008,108.39,109.64,115.44,102.91,100.51,107.84,109.09,114.71,102.75,108.92,110.41,117.95,127.45,104.83
"JUL 2008,108.33,109.05,""_"",104.01,100.34,107.96,108.68,""_"",104.01,108.98,110.02,""_"",""_"",105.86"
